"";"cena";"waluta";"Oferta.od";"Kategoria";"Marka.pojazdu";"Model.pojazdu";"Generacja";"Rok.produkcji";"Przebieg";"Pojemnoœæ.skokowa";"Rodzaj.paliwa";"Moc";"Skrzynia.biegów";"Napêd";"Typ";"Liczba.drzwi";"Liczba.miejsc";"Kolor";"Metalik";"Faktura.VAT";"Kraj.pochodzenia";"Pierwszy.w³aœciciel";"Serwisowany.w.ASO";"Stan";"VIN";"Wersja";"Emisja.CO2";"VAT.mar¿a";"Mo¿liwoœæ.finansowania";"Bezwypadkowy";"Okres.gwarancji.producenta";"lub.do..przebieg.km.";"Pierwsza.rejestracja";"Zarejestrowany.w.Polsce";"Per³owy";"Numer.rejestracyjny.pojazdu";"Leasing";"Gwarancja.dealerska..w.cenie.";"Tuning";"Filtr.cz¹stek.sta³ych";"Uszkodzony";"Miesiêczna.rata";"Akryl..niemetalizowany.";"Homologacja.ciê¿arowa";"Kierownica.po.prawej..Anglik.";"Op³ata.pocz¹tkowa";"Liczba.pozosta³ych.rat";"Wartoœæ.wykupu";"Var.26";"Var.27";"Var.28";"Var.29";"Var.30";"Var.31";"Var.32";"Var.33";"Var.25";"Var.34";"Var.35";"Matowy";"Zarejestrowany.jako.zabytek";"Warranty.if.agreed.with.the.buyer"
"1161";75900;"PLN";"Firmy";"Osobowe";"Kia";"Sportage";"IV (2016-)";2018;"69 001 km";"1 591 cm3";"Benzyna";"132 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Czarny";"Tak";NA;"Niemcy";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.6 GDI Business Line 2WD";"156 g/km";"Tak";"Tak";NA;"19/04/2025";"100 000 km";NA;"Tak";NA;NA;NA;"50 miesiêcy";NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1162";34900;"PLN";"Firmy";"Osobowe";"Kia";"Pro_cee'd";NA;2014;"83 000 km";"1 396 cm3";"Benzyna";"100 KM";"Manualna";NA;"Coupe";3;5;"Czarny";NA;NA;"Polska";NA;NA;"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1163";25900;"PLN";"Firmy";"Osobowe";"Kia";"Picanto";"II (2011-)";2017;"48 000 km";"998 cm3";"Benzyna";"67 KM";"Manualna";"Na przednie ko³a";"Auta ma³e";3;5;"Bia³y";"Tak";NA;"Niemcy";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";"Tak";"Tak";NA;NA;"11/11/2016";"Tak";"Tak";NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1164";20900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Pro_cee'd";NA;2012;"183 000 km";"1 396 cm3";"Benzyna";"90 KM";"Manualna";"Na przednie ko³a";"Auta miejskie";3;5;"Czarny";NA;NA;"Niemcy";NA;NA;"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1165";21500;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Picanto";"II (2011-)";2014;"57 000 km";"998 cm3";"Benzyna";"69 KM";"Manualna";"Na przednie ko³a";"Auta ma³e";5;5;"Srebrny";"Tak";NA;NA;NA;"Tak";"U¿ywane";"Wyœwietl VIN";"1.0 L";NA;NA;"Tak";NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1166";62500;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"IV (2016-)";2016;"75 500 km";"1 591 cm3";"Benzyna";"132 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Szary";NA;NA;"Polska";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"1.6 GDI S 2WD";"156 g/km";NA;NA;NA;"26/07/2021";NA;"05/09/2016";"Tak";NA;"ZSL47180";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1167";21550;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"I (2006-2012)";2010;"64 331 km";"1 396 cm3";"Benzyna";"109 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Szary";"Tak";NA;"Niemcy";NA;NA;"U¿ywane";"Wyœwietl VIN";"1.4 CVVT";"145 g/km";NA;NA;"Tak";NA;NA;"29/06/2010";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1168";39900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sorento";"II (2009-2015)";2011;"212 000 km";"2 199 cm3";"Diesel";"197 KM";"Manualna";"4x4 (do³¹czany automatycznie)";"SUV";5;7;"Br¹zowy";"Tak";NA;"Polska";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"2.2 CRDi XL";"177 g/km";NA;NA;"Tak";NA;"212 000 km";NA;"Tak";"Tak";"SMI13129";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1169";43999;"PLN";"Firmy";"Osobowe";"Kia";"Sportage";"III (2010-2015)";2013;"171 000 km";"1 591 cm3";"Benzyna";"135 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Br¹zowy";"Tak";NA;"Belgia";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.6 GDI L 2WD";"158 g/km";"Tak";NA;"Tak";NA;NA;"01/03/2013";NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1170";59900;"PLN";"Firmy";"Osobowe";"Kia";"Optima";NA;2017;"156 000 km";"1 685 cm3";"Diesel";"141 KM";"Automatyczna";"Na przednie ko³a";"Kombi";5;5;"Szary";"Tak";NA;NA;"Tak";NA;"U¿ywane";"Wyœwietl VIN";"1.7 CRDI XL DCT";"116 g/km";"Tak";NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1171";51950;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Stonic";NA;2017;"36 234 km";"1 248 cm3";"Benzyna";"84 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Niebieski";"Tak";NA;"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";NA;"Tak";"13/11/2024";NA;"13/11/2017";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1172";56500;"PLN";"Firmy";"Osobowe";"Kia";"Picanto";"III (2017-)";2020;"500 km";"1 197 cm3";"Benzyna";"84 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Inny kolor";"Tak";"Tak";"Polska";NA;NA;"U¿ywane";"Wyœwietl VIN";NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1173";29299;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Ceed";"II (2012-)";2014;"138 917 km";"1 582 cm3";"Diesel";"110 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Srebrny";"Tak";"Tak";"Polska";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"Cee'd 1.6 CRDi M";"104 g/km";NA;"Tak";"Tak";"01/11/2021";"150 000 km";"02/12/2014";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1174";53900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"IV (2016-)";2017;"18 992 km";"1 591 cm3";"Benzyna";"177 KM";"Automatyczna";"4x4 (do³¹czany automatycznie)";"SUV";5;5;"Inny kolor";NA;NA;NA;"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.6 T-GDI Business Line 4WD DCT";NA;"Tak";"Tak";NA;"01/11/2025";NA;"04/11/2017";"Tak";"Tak";NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1175";33900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Ceed";"II (2012-)";2014;"200 000 km";"1 582 cm3";"Diesel";"128 KM";"Automatyczna";"Na przednie ko³a";"Kombi";5;5;"Czarny";"Tak";NA;"Niemcy";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"1.6 CRDi 128 SW";"149 g/km";NA;NA;NA;NA;NA;NA;"Tak";NA;"EPJ";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1176";5900;"PLN";"Firmy";"Osobowe";"Kia";"Picanto";"I (2004-2010)";2005;"195 238 km";"1 100 cm3";"Benzyna";"60 KM";"Manualna";NA;"Auta miejskie";5;5;"Inny kolor";"Tak";NA;"Niemcy";"Tak";NA;"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1177";4900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Cerato";NA;2004;"190 000 km";"1 991 cm3";"Diesel";"113 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Srebrny";"Tak";NA;NA;"Tak";NA;"U¿ywane";"Wyœwietl VIN";"2.0 CRDi LX";NA;NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1178";36500;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sorento";"II (2009-2015)";2010;"220 000 km";"2 199 cm3";"Diesel";"197 KM";"Automatyczna";"4x4 (do³¹czany automatycznie)";"SUV";5;5;"Szary";"Tak";"Tak";"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"2.2 CRDi Voyage";"194 g/km";NA;NA;"Tak";NA;NA;"13/07/2010";"Tak";NA;"TK8595F";NA;NA;NA;"Tak";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1179";42000;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"II (2012-)";2017;"117 508 km";"1 582 cm3";"Diesel";"110 KM";"Manualna";"Na przednie ko³a";"Kombi";5;5;"Bia³y";NA;NA;"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"Cee'd 1.6 CRDi M";"104 g/km";NA;NA;"Tak";NA;NA;"22/12/2017";"Tak";NA;"WW0884X";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1180";35800;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Rio";"IV (2017-)";2018;"89 000 km";"1 368 cm3";"Benzyna";"100 KM";"Manualna";NA;"Kompakt";5;5;"Bia³y";NA;NA;NA;"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";NA;NA;NA;NA;"Tak";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1181";24100;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Ceed";"II (2012-)";2014;"255 000 km";"1 582 cm3";"Diesel";"128 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Bia³y";NA;NA;NA;NA;NA;"U¿ywane";"Wyœwietl VIN";"1.6 CRDi 128 SW";"117 g/km";NA;NA;NA;NA;NA;"26/10/2014";NA;NA;"CRY7E76";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1182";16700;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"I (2006-2012)";2009;"194 000 km";"1 396 cm3";"Benzyna";"109 KM";"Manualna";"Na przednie ko³a";"Kombi";5;5;"Szary";NA;NA;NA;NA;"Tak";"U¿ywane";"Wyœwietl VIN";"Cee'd 1.4 Comfort +";"145 g/km";"Tak";NA;"Tak";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1183";2000;"PLN";"Firmy";"Osobowe";"Kia";"Rio";"I (2000-2005)";2004;"179 000 km";"1 343 cm3";"Benzyna";"82 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Inny kolor";NA;NA;NA;NA;NA;"U¿ywane";NA;"1.3 RS";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1184";37900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Carens";"IV (2013-)";2013;"117 872 km";"1 685 cm3";"Diesel";"136 KM";"Manualna";"Na przednie ko³a";"Minivan";5;5;"Czarny";"Tak";"Tak";"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.7 CRDi L";"134 g/km";NA;NA;"Tak";NA;NA;"06/08/2013";"Tak";NA;"DW734TW";NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1185";34800;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"II (2012-)";2017;"203 345 km";"1 582 cm3";"Diesel";"110 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Srebrny";"Tak";"Tak";"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"Cee'd 1.6 CRDi M";"104 g/km";NA;"Tak";"Tak";NA;NA;"27/08/2017";"Tak";NA;"WL8329M";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1186";19900;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"I (2006-2012)";2010;"138 000 km";"1 396 cm3";"Benzyna";"109 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Czarny";"Tak";NA;"Niemcy";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"Cee'd 1.4 Comfort +";"145 g/km";"Tak";"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1187";24300;"PLN";"Firmy";"Osobowe";"Kia";"Sportage";"III (2010-2015)";2012;"170 000 km";"1 995 cm3";"Diesel";"136 KM";"Automatyczna";"4x4 (do³¹czany automatycznie)";"SUV";NA;NA;"Bia³y";NA;NA;NA;NA;NA;"U¿ywane";"Wyœwietl VIN";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1188";15500;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"I (2006-2012)";2007;"179 000 km";"1 591 cm3";"Benzyna";"122 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Inny kolor";"Tak";NA;NA;NA;NA;"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";"Tak";NA;NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1189";10999;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Rio";"II (2005-2011)";2009;"106 350 km";"1 599 cm3";"Benzyna";"112 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Srebrny";"Tak";NA;NA;"Tak";NA;"U¿ywane";"Wyœwietl VIN";"1.6 Sport";"153 g/km";NA;NA;"Tak";NA;NA;NA;NA;"Tak";"IKMM108";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1190";25900;"PLN";"Firmy";"Osobowe";"Kia";"Venga";NA;2010;"130 000 km";"1 591 cm3";"Benzyna";"125 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Niebieski";NA;NA;"Niemcy";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.6 CVVT";"155 g/km";"Tak";NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1191";24500;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Venga";NA;2013;"148 200 km";"1 396 cm3";"Diesel";"90 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Bia³y";NA;NA;NA;NA;NA;"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1192";6500;"PLN";"Firmy";"Osobowe";"Kia";"Picanto";"I (2004-2010)";2005;"138 000 km";"1 086 cm3";"Benzyna";"65 KM";"Manualna";"Na przednie ko³a";"Auta ma³e";5;5;"Srebrny";"Tak";NA;"Niemcy";NA;NA;"U¿ywane";"Wyœwietl VIN";"1.1 Summer +";NA;"Tak";NA;NA;NA;NA;NA;"Tak";NA;"SL7358A";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1193";69900;"PLN";"Firmy";"Osobowe";"Kia";"Sportage";"IV (2016-)";2016;"64 450 km";"1 591 cm3";"Benzyna";"132 KM";"Manualna";"Na przednie ko³a";"SUV";5;5;"Szary";"Tak";NA;"Niemcy";NA;"Tak";"U¿ywane";"Wyœwietl VIN";"1.6 GDI Business Line 2WD";"156 g/km";"Tak";"Tak";"Tak";NA;NA;"06/06/2016";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1194";6900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Magentis";NA;2006;"264 092 km";"1 991 cm3";"Diesel";"140 KM";"Manualna";"Na przednie ko³a";"Sedan";4;5;"Srebrny";"Tak";NA;"Niemcy";NA;NA;"U¿ywane";"Wyœwietl VIN";"2.0 CRDi Platinium";"162 g/km";NA;NA;NA;NA;NA;"07/11/2014";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1195";33900;"PLN";"Firmy";"Osobowe";"Kia";"Ceed";"II (2012-)";2012;"108 000 km";"1 396 cm3";"Benzyna";"100 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Br¹zowy";"Tak";NA;"Austria";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.4 CVVT";"135 g/km";"Tak";NA;NA;NA;NA;"21/01/2013";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1196";34900;"PLN";"Osoby prywatnej";"Osobowe";"Kia";"Sorento";"II (2009-2015)";2010;"175 000 km";"2 359 cm3";"Benzyna+LPG";"174 KM";"Manualna";"4x4 (do³¹czany automatycznie)";"SUV";5;5;"Br¹zowy";"Tak";NA;NA;NA;"Tak";"U¿ywane";"Wyœwietl VIN";"2.4 Freedom";"208 g/km";NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1197";64900;"PLN";"Firmy";"Osobowe";"Kia";"Optima";NA;2017;"127 461 km";"1 685 cm3";"Diesel";"141 KM";"Automatyczna";"Na przednie ko³a";"Sedan";4;5;"Niebieski";"Tak";"Tak";"Polska";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";"1.7 CRDI DCT";"116 g/km";NA;"Tak";"Tak";NA;"150 000 km";"28/11/2017";"Tak";NA;"WU6938F";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1198";56600;"";"Firmy";"Osobowe";"Kia";"Sportage";"III (2010-2015)";2015;"96 127 km";"1 591 cm3";"Benzyna";"135 KM";"Manualna";"Na przednie ko³a";"Kombi";5;5;"Bia³y";NA;NA;"Polska";NA;NA;"U¿ywane";"Wyœwietl VIN";NA;NA;"Tak";"Tak";NA;NA;NA;"08/07/2015";NA;NA;NA;NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1199";9400;"";"Osoby prywatnej";"Osobowe";"Kia";"Picanto";"I (2004-2010)";2008;"130 000 km";"999 cm3";"Benzyna";"62 KM";"Manualna";"Na przednie ko³a";"Auta ma³e";5;5;"Czarny";"Tak";NA;NA;NA;"Tak";"U¿ywane";"Wyœwietl VIN";NA;"120 g/km";"Tak";NA;"Tak";NA;NA;"27/02/2008";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1200";37899;"";"Firmy";"Osobowe";"Kia";"Ceed";"II (2012-)";2017;"120 000 km";"1 582 cm3";"Diesel";"110 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Srebrny";"Tak";"Tak";NA;NA;NA;NA;"Wyœwietl VIN";"Cee'd 1.6 CRDi M";NA;NA;NA;NA;"09/09/2024";NA;"28/09/2017";"Tak";NA;"KR8AS03";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1201";121900;"";"Firmy";"Osobowe";"Kia";"XCeed";NA;2020;"2 100 km";"1 580 cm3";"Hybryda";"105 KM";"Automatyczna";"Na przednie ko³a";"SUV";5;5;"¯ó³ty";"Tak";"Tak";"Polska";NA;NA;"U¿ywane";"Wyœwietl VIN";"1.6 GDI DCT6 OPF Plug-in-Hybrid";"29 g/km";NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1202";69900;"";"Firmy";"Osobowe";"Kia";"Ceed";"III (2018-)";2019;"42 662 km";"1 353 cm3";"Benzyna";"140 KM";"Automatyczna";"Na przednie ko³a";"Kombi";5;5;"Niebieski";"Tak";"Tak";NA;NA;NA;NA;"Wyœwietl VIN";"1.4 T-GDI M";NA;NA;"Tak";NA;"01/10/2026";"150 000 km";NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1203";8900;"";"Osoby prywatnej";"Osobowe";"Kia";"Sportage";"I (1994-2002)";2001;"180 000 km";"1 998 cm3";"Benzyna";"128 KM";"Manualna";"4x4 (do³¹czany rêcznie)";"SUV";5;5;"Srebrny";NA;NA;NA;NA;NA;"U¿ywane";"Wyœwietl VIN";NA;"261 g/km";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1204";41900;"";"Osoby prywatnej";"Osobowe";"Kia";"Optima";NA;2011;"151 100 km";"1 685 cm3";"Diesel";"136 KM";"Manualna";"Na przednie ko³a";"Sedan";4;5;"Szary";NA;NA;"Polska";NA;"Tak";NA;"Wyœwietl VIN";"1.7 CRDi XL";"128 g/km";NA;NA;"Tak";NA;NA;"05/01/2012";"Tak";NA;"NGI26801";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1205";33900;"";"Firmy";"Osobowe";"Kia";"Ceed";"II (2012-)";2014;"75 750 km";"1 396 cm3";"Diesel";"90 KM";"Manualna";"Na przednie ko³a";"Kompakt";5;5;"Bia³y";NA;NA;"Niemcy";"Tak";"Tak";"U¿ywane";"Wyœwietl VIN";NA;NA;NA;"Tak";NA;NA;NA;"30/06/2014";"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1206";114900;"";"Firmy";"Osobowe";"Kia";"XCeed";NA;2020;"1 457 km";"1 353 cm3";"Benzyna";"140 KM";"Automatyczna";"Na przednie ko³a";"SUV";5;5;"Srebrny";"Tak";"Tak";"Polska";NA;NA;NA;"Wyœwietl VIN";"1.4 T-GDI XL DCT";NA;NA;"Tak";NA;"21/10/2027";"150 000 km";NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"1207";30000;"";"Firmy";"Osobowe";"Kia";"Ceed";"II (2012-)";2017;"61 533 km";"1 591 cm3";"Benzyna";"135 KM";"Automatyczna";"Na przednie ko³a";"Kombi";5;5;"Czerwony";"Tak";"Tak";"Polska";NA;NA;NA;"Wyœwietl VIN";"Cee'd 1.6 GDI L Business Line DCT";"136 g/km";NA;NA;NA;NA;NA;"12/01/2018";NA;NA;NA;NA;NA;NA;NA;"Tak";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
